SMILES,cv
CC12CC1C1NC12,24.783
CN=COC(=O)CC#N,31.953
OCC1(C2(O)CC2)CO1,35.013
O=C1C=CCCC1=O,25.255
C#CC(=O)C1CC(C)O1,32.961
CC12C=CC(CC1)C2O,32.928
C#CC1CC1CNC=O,34.125
N#CCC(O)CCO,32.664
OCCC#CCC1CC1,36.925
Nc1nc2n[nH]nc2[nH]1,26.287
OC1CC2(C=CCC2)C1,33.146
COC1C=C2CCC2C1,32.663
Cc1ccc(C)c(=N)o1,32.445
C#CCC1(C)COC=N1,33.09
COCC(O)(C=O)C=O,34.836
CCC(O)(C=O)C(C)C,41.698
CC1NC(C#N)C1=NO,32.469
Cc1nn[nH]n1,17.141
CN(C)C(=N)C(O)C#N,35.979
CC1C2(C)C3NC2C13O,34.042
C1CC23C1CC1C2OC13,27.785
CCC12CC(=O)C1C2,29.715
O=CC1=CC2NC1C2O,28.273
C#CC12COCC1(C)O2,32.161
CC#CC(O)C(C)C=O,37.963
COC1CC1(C)CO,34.625
CN=C1OC2C(O)C12O,32.614
N=COC1C(O)C2OC12,29.888
CC1COC23CN(C2)C13,30.324
O=C1C2CC3COC2C13,25.997
COCC(C)(O)C(C)C,43.052
CC1C=C2C(C)OC2C1,33.59
C#CC(CC1CO1)OC,35.437
Cc1ccc(C#N)o1,25.208
O=CCN1C2C=CC1C2,29.861
CC1N2CC(O)C12C=O,32.985
CC(O)CN=COC=O,35.296
CC(C)C12CC=CC1N2,34.905
CC12CCC1C(O)CO2,33.959
N#CC1(CO)CC=CC1,32.213
OC1CC2CCCC2C1,33.319
C1CC2(CC2)CC2CC12,33.112
CC(O)(CO)C(N)=O,34.469
CC1C=Cn2ncnc21,26.703
CC1(C#N)CNC=N1,27.443
CC1CC(C#CCO)O1,34.893
CN(C)c1ncn(C)n1,33.145
COCC1NC2COC12,32.122
CCC1CCC(O)C1O,37.208
CNC1(C#N)C2CC1O2,31.012
CC12COC(=N)C1(C)N2,33.133
COC(=N)N1CC1CO,34.215
CC1N2CC1(O)C2(C)C,37.945
OCCC1(O)CCC1O,38.018
CCCCC1(C=O)CO1,36.322
CCC1C(CO)N2CC12,35.547
CC(C)C(O)C1(C)CO1,39.577
C1=C2CCC3C(CC1)C23,29.52
OCCC12C3C4C(C31)N42,30.33
N=c1[n-]c(C(N)=[NH2+])no1,30.012
N#CC#CC(=N)NC=O,29.272
CC(OC(N)=O)C(N)=O,35.832
CC1CC12CC(=N)O2,29.147
CC(=O)C1C(C)C2CC21,34.833
CC1CC1C1NC1CO,36.409
CN(C)C1C(=O)C2NC21,33.282
O=COC1CC2(CC2)C1,32.154
CC(O)C1=CCNC1=O,32.591
CCC1(C#N)CC1C#N,33.058
Cn1nnc(N2CC2)n1,28.139
COCc1onnc1C,31.766
CCN=c1cconn1,36.339
[NH3+]C1C(O)C1CC(=O)[O-],32.872
COC1(C(=O)[O-])C[NH2+]C1,32.05
Oc1cc(O)nc(F)c1,27.5
CCC12C=CCCC1N2,34.075
COCC(C)(O)CC#N,37.904
CC1C2C3C(C=O)N2C13,29.794
CC1OC1C1OC1C=O,31.804
C1C2C3C4CN2CC1N43,24.933
O1C2C3C1C1C4C2C3C14,23.56
CC1N2C3CC2C13C#N,29.38
CC(=N)Oc1ccon1,28.891
NC(=O)C12OCC1C2O,31.72
CCC(CC)C(C)OC,43.771
CCCC1N(C)C1(C)C,42.59
OCC1NCC1=NO,29.605
N#CC12CC1(O)C1CC12,29.731
CC(N)(CC#N)C(N)=O,37.01
CC12CCC(C=O)C1O2,32.245
N#Cc1cc(C#N)on1,24.329
CCCCC(CC)CO,43.409
C#CCC(C#C)OC=N,34.793
OC1COC2CC(C1)C2,32.165
COC1CC2(C1)CC2O,35.601
N#CC(=O)c1cn[nH]c1,25.639
O=CC1(O)C2CC1C2=O,29.248
OC1CC2NC13COC23,29.152
Cc1cnn(C)c(=N)n1,31.077
C1C2C3CC4(CN4)C3N12,29.253
CN=c1onc(C#N)o1,27.171
C#CCC1CC(=O)N1,28.85
O=CC1CCCC(O)C1,34.222
CC1COCC(C)(C)O1,37.429
CC(=O)NCC1OC1C,36.154
O=C1NC2CC3C(C2)C13,27.496
N=COC1(C=O)CC1O,32.871
C1=C(C2CO2)CC2CC12,30.046
CC([NH3+])COCC(=O)[O-],35.715
CCOc1onnc1C,32.491
CCC1(C)C(O)C2CC21,37.831
CC(=O)OCCNC=O,34.235
O=C1CC2CC(O)C1O2,28.993
CCCC(CO)CC=O,39.384
N=c1[nH]c(CO)c(N)o1,32.671
CC1(O)CCC1O,29.716
NC(=O)C1CC2CCN21,32.139
C#CC12C3CC1N1C3C12,27.34
COC1CC2NC(=O)C21,30.982
C#CC1CN1CCCO,36.586
CCC1C2C3NC3(C)C12,34.704
Cc1cc(N)nc(F)c1,30.97
COC1CC2COCC21,31.918
CN1C2C=C(CO)CC21,33.524
CC1(C)OCOC2CC21,34.047
CC(C)C12CC=CC1C2,35.779
OC1C2OC3CC1(O)C32,29.595
CC(OC=N)C1(C)CO1,36.164
COC1C2CCC1O2,27.393
CN1CC2(C)CC12C=O,34.646
CC1(C=O)NC1(C)C=O,35.056
CCOCCCCC#N,37.659
O=C1NCCC2CC2O1,29.762
CC1C2C(O)C3CN2C13,30.828
CC1CC2CCC12C#N,32.751
CCC12CC1C1CN12,29.555
OCC12CC(O1)C21CC1,32.397
C#CC1CC2CN2C1=O,29.654
C[NH+]=C(N)C(CO)=N[O-],36.302
O=c1[nH]nnn1CCO,28.921
CC1OC2C3C=CC12O3,29.497
CCc1nccoc1=O,29.577
C1CC2(CO1)C1CC2O1,28.933
CC12COCC3C1CC32,30.688
O=CCCCOC1CC1,35.567
CC1C(=O)NC1C(N)=O,33.879
CC1C=CC(=O)NC=N1,30.214
CCn1nncnc1=O,28.059
CC12CC1C1OC1(C)C2,33.767
CCC1OC(=O)C12CC2,32.767
CC12NC3C1NC32C#N,29.143
O=C1C=CC2OC12,19.642
NC(=O)C1OCC1CO,33.787
N=c1cncccc1O,28.249
CC#CC(CO)CC=O,36.927
N#CCCOC(=O)C=O,30.501
CC12CC3CN1C32CO,32.836
CC12NC1(C)C1(C)OC21,35.125
COCC(CO)OC=O,35.227
O=CC#CC#CC=O,25.708
C#CC(C)C1C2CC1C2,34.199
CC12CC(=O)C1CO2,27.676
OCC1COCCO1,28.707
C1OCC2(CC3NC32)O1,28.594
O=C1C=CC2C=CCN12,26.31
OC1C2C=CCC1OC2,29.619
CC1OC(=O)NC1=N,26.206
COC1CC(C)C1O,32.997
C#CC12CC1CC2C=O,31.88
O=C1OCC2OCC1O2,25.514
Nc1cc(C2CO2)n[nH]1,30.082
CCOC1C(C)OC1C,38.034
NC(=O)NC(=O)CCO,35.24
CC(C)C1COC1C=O,35.52
OCC12CC3CC(C1)N32,30.947
COCC1C2CC(=O)C12,32.429
C#Cc1[nH]cnc1C,27.639
CC(C#CC1CO1)CO,35.863
Cc1c(F)cnoc1=O,27.724
Cc1cc(C)n(C)c1,32.178
N=C1OC(=O)CCC1=O,27.849
CC12C3CN1C(=N)C32O,31.132
CC(=O)C1OC(C)C1C,36.753
O=C1C=C2CCC2N1,24.753
N=c1[nH]ccoc1=N,24.933
OCC1C2CC3C2C13O,32.181
CCC(O)C(=O)C(=N)N,37.258
OC1C2CC2C12CN2,28.103
C#CC(C)(C#C)OC=N,36.03
CN1C2COC2C1(C)C,35.846
OCCC1C2OCOC12,31.658
N#CC1CO1,14.866
CC12CC(C1)C21CC1O,34.627
NC12C=CN3C=NC1C32,27.374
CC(O)COC(=O)C=O,34.148
Cc1nnn2c1CCC2,28.794
OC12C=CCC1=CCC2,30.989
C#CCN(C)C(=N)C=O,34.605
CC(C)C1(C)COC1C,40.238
C1=NC2CCC(C2)O1,24.169
O=C1CC2OC2C1CO,29.821
OC12COCC1N1CC12,29.491
CC12CC(O1)C21CO1,27.453
C#CC1(C)CC1(O)CO,37.736
C#CCCC1CO1,26.76
C#CC(O)(CO)C(N)=O,35.93
CC1C(C)N(C)C1C=O,37.472
CCC1C2CC(C)(C)C12,38.892
OC1CCC12CO2,25.278
CC1OCCCC1C=O,33.764
CCCC(C)(C)CCO,44.42
O=C(CO)C1(CO)CN1,34.207
CCC1=C(C)CCC1C,39.236
COC1=NCCN=CN1,31.13
NC(=O)n1nnnn1,22.373
CCN=COC=O,26.043
N=C1NC23CCC2OC13,28.371
CC(NC=O)C1(C)CC1,37.836
OCC1=CC2(CC1)CC2,34.437
CC12CCC1C1OC1C2,31.547
CC1(C=O)NC12CCC2,34.15
CC(=O)C1CC(=O)CO1,31.591
O=C1C=CCN1C1CC1,30.023
CC1=CCOC12CC2O,33.67
C#CC1CC2(C)C(C)N12,35.702
C#CC1=CC(C#N)OC1,29.421
C1OC2C3C4CC3N4C12,25.645
CCC1=NCC(=O)O1,26.776
Cc1[nH]nc(O)c1CO,33.297
CNC1(C#N)CCC1,30.769
O=C1COC2OC=NC12,24.976
COCCC(C)OC,36.425
Cc1nn(C)c(N)c1C,36.556
CC#CCc1cnc[nH]1,31.344
CC12CC3N4C1C4C32O,30.077
Cc1nc(N)oc1CO,33.411
CC1OC12C=CC(=O)C2,30.704
OC1(c2cc[nH]c2)CC1,32.067
CC(O)C1CC=CC1C,37.387
CC1(C)CC2=CCOC21,33.816
C#CC1OC=NC12CC2,30.023
O=CCC12COC1C2,27.305
CC1C2C=CCC1OC2,31.108
CC12CC1C(C(=O)[O-])[NH2+]2,31.332
Cn1nnn2ncnc12,23.897
NC(=O)C1CCCCC1,35.078
Nc1n[nH]c2ccoc12,27.241
CCCCCC(=O)CO,39.872
O=C1CC2(C3CC3)CC12,31.454
C#CC(O)C1CC1(C)C,39.351
C#CC12CN1CC21CO1,30.448
CN(CC#N)C1COC1,33.05
CC1C(O)C(O)C2OC12,32.297
CC1C(=O)NC1CCO,35.814
N=c1ccnn[nH]c1=N,27.402
CC1OC23CN4C2CC143,29.524
CCC1CC1C(C)(C)O,41.911
c1nc2c([nH]1)CCN2,23.914
C#CC1(C(=O)C=O)CC1,32.288
O=C1N2CC2C12CC2,25.659
Cc1c(N)ncn1C,30.414
Nc1cn2nnoc2n1,25.386
C1=NCCO1,14.168
CC(C#N)C1CC(=O)C1,33.234
CC1CC2N=CNC2=N1,29.109
CC12C3CN1CC2C3=O,29.538
OCCCc1ccc[nH]1,34.103
CC1C2N3CC3CC12C,33.934
C#CC1(CC#N)CC1O,34.024
c1cc(N2CC2)ncn1,26.68
O=CC12CC(=NO)C1C2,30.86
CC(=NO)C(C)(C)C,37.732
CC1CN1C(=N)C#N,28.421
N#CC1CC(CO)C1O,33.82
CC1CC(C2OC2C)C1,36.476
N=CN1C(=O)NC2CC21,29.031
CC12CC(OC=O)(C1)C2,32.304
O=c1[nH]nn[nH]c1=O,21.957
C1OC2C1OC21COC1,27.636
NC(=O)C1C2C3OC3C12,29.671
CN1CC1(C)CCC#N,36.864
OCCCC12CCC1N2,35.335
C#CC1CC2OC12C,29.463
NC1=C(C=O)COCC1,32.361
C#CC12OCC1C1NC12,29.121
[NH2+]=CNc1coc(=O)[n-]1,30.563
CC12CCC(C1)C21CO1,32.447
CNc1cnnn1C,28.305
O=C1CC2(CCC2)O1,26.357
COc1nonc1CO,29.91
CC1CC(OC=O)C1C,35.52
N#CC1C2C=CC1C2=O,26.83
CC1C=CC(C)C1=O,30.328
O=C1OCCC2CC1O2,27.734
C#CC1CCC(C)(O)C1,36.933
CC(O)C1(O)CN(C)C1,38.37
CCC(=O)N(C=O)CC,36.246
O=C1NCC2C3CC1N23,27.296
CC1OC2C(C=O)CC12,31.49
CCC(O)C(F)(F)F,30.454
OCC1(C(F)(F)F)CO1,30.76
CC(=O)C12OC1C1OC12,29.286
C#CCC#CCC1CN1,34.595
COCC1CC1(O)C#N,34.785
CC1=CC=CCC(O)C1,34.789
C#CC1C(C)C1OCC,37.945
CC(O)CNC(N)=O,34.051
CCC12C=C(C)CC1O2,34.802
CN1C2CCC1C21CO1,31.27
C#CC1C(O)C1C(N)=O,34.071
CNC(=O)C1COC1=N,31.554
N#CCC12CN3C1CC32,28.484
CC1Cn2cc(N)cc21,32.609
O=CC12CC=CC1O2,24.898
Cn1nnc2n[nH]nc21,24.381
Cc1cc(O)cc(N)n1,32.608
CCC1CC12CCCC2,36.694
CC(O)C(C#N)C1CC1,36.429
C#CCC1(C2CN2)CO1,33.262
CCOC1CC(O)C1=O,34.961
O=CC1=NCCCCN1,31.754
OC1C2CC2N2CC12,26.684
OCc1cocc1O,27.777
CN1CC2CC1C2=O,26.962
CC(=O)CN=C(N)C#N,33.575
CCC(C)C(C)CC#N,40.615
c1coc(C2CCO2)c1,27.863
CCC1C2(C)CC1(O)C2,37.661
O=c1oncc(F)c1F,24.645
O=C1NC=CC(CO)O1,30.235
O=c1ccnc[nH]1,19.155
CCOC12CC(C1)C2,30.072
[NH3+]C1Cc2cc(=O)o[c-]21,33.993
N=C1CC2OCCC2O1,28.275
CCn1nnc(N)c1N,33.811
CC#CC12CN=CN1C2,30.698
O=C1CC2NC3CNC132,28.569
CC12COCC1COC2,31.284
CC12NC3C(=O)OC1C32,27.776
CNC(=O)NCC=O,31.424
c1ncc2[nH]ncc2n1,22.936
CC1NC2COC1C2=O,29.736
CC12C=CC(C1)C2(C)O,35.578
O=C1CC=C2NC=NC12,26.603
O=CC1N2CC1(C=O)C2,29.07
Cc1onnc1[N+](=O)[O-],26.658
CC12CN3C1C3C21CC1,31.542
c1cn[nH]n1,11.936
CC12CC(C)(C1)OCO2,34.011
CC12NC1C1(C)NC21C,36.183
N#CCC1=CCOC1=N,28.664
CC1(CO)CN1CC#N,35.382
CC1CCC(O)C1C,34.104
CC12CCOCC(C1)O2,32.115
COC1(C)CC12CCO2,35.767
CCC1OC2C(C)C12O,36.402
CC(O)C(C)C(C)(C)C,45.356
COCc1noc(=O)o1,28.173
O=C1NCC2CCC2O1,28.654
CCCOC1CC1(C)O,39.83
CC12CC(O)C1(C)N2,32.634
COCC(O)COC=O,35.575
C#CC(=O)C1CC1CC,35.405
CC12NC(C3OC31)C2O,30.871
CC(CO)c1nnon1,30.781
CC(=O)C1C(C#N)N1C,33.538
Cc1onc2c1OCO2,26.613
CC(C#N)(CO)CCO,38.361
CC1COC2(C)C(O)C12,35.29
OC12CCC3C4C1C2N34,28.812
COCC12CC(=O)C1O2,31.509
CC(=O)C12CC1CC2=O,31.594
C#CC1(C#N)NCC1C,33.673
Cc1[nH]cnc1N(C)C,34.681
CC1CCC(C=O)CC1,35.422
CC#CC1CCCC1=O,33.539
C1=NCCCCCO1,28.498
NC1=NC2C(CO)C2O1,30.943
CCC1C2NC3C1OC23,30.012
CC12CC3C=CC1CN32,30.026
C1=C2CC3C2C2CC1N32,25.966
N=c1occc(N)c1N,31.442
Oc1cc2n(n1)CC2O,28.47
C#CC1C(C#N)C1C#N,29.954
C1CC2C3C(C1)N1C2C31,27.488
CCC1C(=O)C=CC1C,34.716
CC(=O)Oc1ccno1,28.047
COC1CCOC(C)C1,36.077
O=C1CC=C2CCC2N1,29.531
C1CC2OC3C(C1)C23,25.23
CC1=CC(C)OC(=O)N1,32.758
CC1C2CC3(O)CC3N12,32.764
C#CC12CC(C)=CC1N2,32.814
CC1NC1c1nnon1,27.869
COc1cc(C)n(C)n1,34.012
CNC(=O)CCO,29.342
C#CC(C)CC#CC,34.743
CC(C#N)c1cnno1,28.425
Nc1noc(NC=O)n1,27.895
CC1(C)CCCOC=N1,35.421
OCCC12CN(C1)C2,29.473
CC1CCn2nccc21,29.279
CC1C2C(O)CC3C1C32,32.352
CC1OC2C(C)C12C=O,33.652
O=CC1C2CC1C2CO,32.044
CCOCC#CC(C)O,39.18
Cc1nc(N)n(C=O)n1,30.257
CN1CC2(O)C1C2(C)O,36.819
CC12CC=CC1OC=N2,29.091
CN1C(=O)CCC2CC21,31.991
O=CC12COC(=O)C1O2,26.366
O=C1C2NC2C12CC2O,30.244
CNC(=O)C1CC(=O)O1,30.879
CC#CC1NCC1=O,28.987
O=C1C=CC2(CO2)C1O,28.964
CN1CC2(C)OC(=N)C12,32.886
CC1N(C=O)CC12CO2,32.006
CC(C)(C=O)CCC#N,37.272
O,6.002
CC1(CO)C2CCC1O2,33.774
CCCCC(C)CC,39.816
CC1CCOCC1CO,36.24
CC1OC2CC(=NO)C12,32.019
CCN1CC1C(C)OC,39.516
CC(C)Nc1ccn[nH]1,34.626
CN=c1nc(N)nno1,30.524
CC1CCC2(CO)CN12,35.19
CCC1C2C(=O)N(C)C12,33.856
CCC1CCC2OC2C1,34.337
CC1(C)CC1C(F)(F)F,34.263
Nc1c[nH]c(CC=O)n1,31.238
CC(=O)C(O)C1(C)CC1,37.607
CC1N2CC3OC1(C)C32,31.57
N=COC(=O)CC1CO1,30.987
COC(=O)C#CCC#N,31.483
CC1C(C#N)C1C(N)=O,33.575
O=C1C2C(O)C1N1CC21,28.272
N#CC(=N)N1C2CC1C2,28.483
Cc1n[nH]c(C#N)c1C,31.413
CC1CNC=CC1=NO,33.563
CNC1=CC(=O)C2NC12,30.887
CCN1C2COCC21C,34.992
OC1C23C=CCC12OC3,29.167
CC12CNC(=O)C1(C)C2,34.266
CC12CC(O1)C2C1CC1,33.386
C#CC#CCOC=N,28.976
C#CCC(=NC)OC,33.244
C1OC1C1(C2CO2)CO1,30.122
N#Cc1n[nH]c(N)n1,24.051
CC12CNC1C(=O)O2,26.462
O=CC1(CO)CO1,24.752
COCCC(=O)N(C)C,38.637
CC1=CC(C)OCC1C,37.011
CC1CC2(CO)CC12,32.091
C#CC1(C)C(O)C1CC,39.437
C1CC2OC2COCO1,29.791
CC(O)C1=CCCOC1,34.956
CCC1C(=O)C2CC1C2,32.233
N=C1CC2NC2C(=O)N1,28.231
C#CC12CC(C=C1C)C2,32.851
C1=CC2CCC1N=CO2,27.47
CC12OCC1CN1CC12,30.804
CCC=O,15.954
CC1=NCC2(C)CC2O1,33.414
CCC1CN(C=O)C1,30.588
O=C1CC2C3C4OC13C24,25.098
CC1CCC1(O)C#N,30.965
CC12CC3C4C(CC31)N42,28.543
OCc1ncc(O)cn1,29.162
C#CCn1cncc1C,31.743
CCC1C(=O)C2(C)NC12,34.737
CCC1CC2(CC2)C1=O,34.782
CC(O)(C=O)CCC#N,36.017
CC12NC1C1(C)NC21,30.127
C#CCC1(CO)CC1O,36.939
C#CCCCCC(C)=O,38.614
C1=CCC2OCC2OC1,29.35
OCC12CC(CO1)C2,27.727
CC(C=O)OC(=O)CO,34.491
O=C1C2C=CC3OC1C32,25.202
C1=NC2C3NC2C3CO1,26.203
CC1OCC23CCC12C3,31.915
COC1CC1(O)C#N,30.098
C1COCOC2(C1)CC2,32.413
N#CC(O)C1(C#N)CC1,31.798
CC1(C2COCO2)CC1,33.295
OCCC#CC(O)CO,37.663
C#CC(C#CC=O)NC,34.736
O=C1C2CN3CC(N2)C13,25.986
CC1COC1CC(N)=O,34.744
CC[NH2+]CC(C=O)=N[O-],34.752
CC1OCC1=NO,25.694
O=CCC12COCC1O2,29.809
C#CCC(C)(C#C)C#N,35.913
CC1=C(C)NC(=O)NC1,34.296
CC12OC1C(O)C2=NO,32.554
CC12C3C(O)C4C3C1N42,29.599
OC12C3=CC4C1C2N4C3,27.514
CC(=O)C(CO)OC=O,34.234
Nc1ccc(C=O)[nH]1,27.151
C#CC1N=CN2CCC12,29.139
C#CC(=O)C1OCC1C,32.815
CCc1[nH]cnc1CO,33.471
CC(=O)C1C2C3CN3C12,31.14
CC#CC(C#N)OC=O,32.032
CC(C#N)CC(O)C=O,34.963
C#CC1OCC=C1CO,32.928
N=C1OC2C3NC1C32N,27.983
OC1COCC2(CO2)C1,31.89
CCC12CC1OC1CC12,32.822
CC1C(C)C1CCC#N,37.45
CC12COC(=N)C(C1)O2,30.275
C1CC1C1CC2CC2O1,31.833
CCC1C(C)C1(C)C=O,39.53
COCc1ocnc1O,30.419
CC1CC1(C=O)CC#N,33.987
Cc1[nH]cnc1C(C)O,34.238
CN1CC(C#N)C1C#N,30.892
CC(CCC#N)OC=O,34.368
CCC12COC(C1)C2O,33.449
CC12C=CC3C1N3C=N2,28.135
COC1C=CCO1,24.232
N#CC1(N)C=CCNC1,32.431
CC1NC1CNC(N)=O,36.251
CCCc1ocnc1C,33.78
OC1COC23CCC12C3,30.994
CC#CC(O)C1OC1C,37.103
CN1CC2(CC2C#N)C1,32.647
C#CC(O)C1CC1,27.81
CCC1(O)CC2CC2C1,36.261
CCC1CC2(CO2)C1C,36.882
COC12CCC1OC2=O,30.326
CC(C=O)C1C(C)C1O,36.927
CCC12C3OC4C3N1C42,28.397
N#CCCc1cnc[nH]1,29.181
O=CC(O)C1CC1CO,34.434
C#CC1OC2CC1C2O,30.89
CC12C=CC(C1)C(=O)C2,30.737
O=C1C2CN3C(CO2)C13,25.822
O=CCC#CC1(O)CC1,34.316
CCC1(OC)C2COC21,35.118
CC1C(C=O)C2CC12O,34.185
COC(=O)n1ccnc1,28.087
CN=COc1ncon1,27.523
Cc1coc(C)c1C#N,31.291
CCC1CC12CC(=O)C2,35.202
Cn1c(O)c(O)oc1=N,32.537
O=C1CCC=CC=CN1,30.291
C#Cc1nc2n(n1)CC2,26.91
CC12CCNC(=O)N1C2,31.732
N#CC1COC(N)=N1,25.702
NC(=O)Cc1ccco1,30.418
OCC1Cc2ccnn21,28.395
CC1(O)CC1CO,30.342
O=CC#CC1NC1C=O,30.242
CC1C2CC(C2)C1O,29.776
Nc1c[nH]nc1OC=O,29.532
CN1C2C=CCOCC21,31.783
CC1(C)C2CCCOC21,35.531
C#CC(=O)OC(C)C,31.94
C#Cc1nc(N)c(O)[nH]1,31.423
CCCN1C2C3OC3C21,32.788
Nc1cnc(F)[nH]c1=O,27.711
CC(C)CCOC(N)=O,39.188
CC1OCC2(O)CC12O,34.632
N#Cc1ccnc(F)c1,24.945
CC1=NC(C)CN1C=O,33.063
CC12CC1C1NC12CO,34.361
O=CC1=CC2C3CC1C23,27.356
CC(=O)C1C2C(=O)CN12,30.383
Oc1cc2n(n1)CCN2,27.735
C#Cc1cc(C)ccn1,30.42
CCC(O)C1CC(=O)N1,35.321
COCC1C2CC3C2N13,30.924
C#CC1OCC12OC2C,32.702
OC1C2C(O)C1C1NC12,29.513
CC(=O)C12CC1NC=N2,31.025
CC1C(C)C2(CN2)C1O,36.383
