SMILES,DFT_cv
COC(C)(C)NCCO,42.389
C=CC(C)(CCC)OC,42.394
CCC1(CC)CCC2CC21,42.394
COCCC(O)C1CCC1,42.397
CCCCCC1OCC1O,42.398
C#CCCC1CC1CCO,42.401
CCC1C2C(C)C(CO)C12,42.402
CCC(O)OC1OC1CC,42.402
CC(O)C=CCC(C)C,42.403
CNC=CC(C)(C)CO,42.408
CCCC1CCCOC1C,42.413
CC(C)(O)CNCCO,42.415
CCC1CCCC(C)CO1,42.415
CCCC1OCCCC1C,42.418
COCC1(C)CCC(C)O1,42.42
CN(C)C(CN)NCN,42.423
CCC(CCCN)OC,42.423
CN(CN)CCNCC#N,42.423
COC1CCC1CCCO,42.423
CCCN(CC)NNC,42.425
CC(CO)COC1CCC1,42.43
CCC1CCC(C)COC1,42.434
CCCC1(C)CC1CC,42.438
CCCNCC=C(C)C,42.44
C#CCCNNC(N)=NC,42.44
CCC1CCCCOC1C,42.447
CCOCCCC(C)N,42.448
CCC1CCC(OC)CC1,42.448
CCCC(CNC)NN,42.449
C#CCCC(C)OC1CC1,42.449
CCCC(CNC)NN,42.449
C#CCCC(CO)OC=C,42.45
CCOCC(C)CCN,42.451
CNNC(C)OC(C)C,42.456
CCOCCC1CCC1O,42.456
CCCC(C)(CO)OO,42.459
C#CC(C)NCCCC=O,42.465
CCC1CCC(C)CCO1,42.467
CNOCC(O)CCC=O,42.472
CCCCC1(C)CC1C,42.473
CNCC(CO)CCC#N,42.474
CC1CCC1OCCCO,42.475
C=C(CCC1CC1)COC,42.479
CCC(C)C(CO)OC,42.481
CCCC(C)N1CC1C=O,42.488
CNCCNCC(C)N,42.489
CCOCCC1(C)CCO1,42.491
CCC(C)CCCOO,42.492
CCC(C)=C(CC)CO,42.493
CC1CCCNNCC1C,42.493
CN(COO)C(C)CCO,42.495
CC=C1CCCCC1CC,42.496
CC1CC1COOCCO,42.5
CCN(OO)C(C)(C)O,42.501
CCCC1(CC)CC1C,42.501
CCC(C)C(O)C1CCO1,42.502
CCC(C)NNC(N)N,42.506
CC1CCC2C(C)C2C1C,42.507
CCC#CCCCCC=O,42.51
CCCC12C(C)OC1C2C,42.512
CC(CO)OCCC1CN1,42.513
CCCCC(C)COO,42.514
C#CC1CC1CCCCO,42.518
C#CCC(C)CNCC=O,42.519
CCCCC(C=O)C1CC1,42.523
CCCC(CCO)NC,42.527
C#CN(CC)NC=NNN,42.527
CC1CC(CO)CCN1C,42.53
NNC=CCCCCC=O,42.53
C=C(C)C(C)CC,42.531
CC(C)CCCC1CC1N,42.531
CCC(C)OCN(C)C,42.531
CCCC1CC1(C)CC,42.532
CCC1CC1CCCC=O,42.537
COC(C)C(C)C1CCO1,42.537
CCCCNCC=CC=O,42.543
CCCCC12CC1C2OC,42.544
CC(CO)CC(C)CO,42.546
CC(CCCC=O)C1CC1,42.548
C#CC(C)CCC1CCC1,42.55
C=CCC(O)C1CC(C)C1,42.552
CN(CCO)CCCC#N,42.554
CCOC1(C)CCOC1C,42.555
COC(C)COCCC=O,42.557
C#CCOC(O)CCCO,42.558
COC1NC1CCCCO,42.559
CCCC(C)C1CCC1=O,42.563
CCCCC1CC1CC=O,42.565
COC(C)NCNCC=O,42.566
CCCCC(C)ONC,42.573
CCCCCC(=O)C1CC1,42.574
CCOC1CCCCC1C,42.575
CN(C)CC(O)C(O)C=O,42.576
CCC1C(CC)C2C(O)C12,42.578
C#CCC(C)C(O)CC=O,42.581
CC1CCCCC1CCO,42.582
CCCN(CN)N(C)N,42.583
C=CC(CC)NNCC=O,42.583
CCCC1C(=O)CC1CC,42.583
CCCC(CCC)OO,42.587
CCCCC1CC(C)C1=O,42.589
CCCCC(=O)C=COC,42.589
COCC(C)C1CCCC1,42.589
CCC(C)(C)CN(C)F,42.59
CCC1CCOC(CC)C1,42.59
CCOCC(O)C1CCC1,42.593
CC(C)=CCCN(C)C,42.594
CCC1(OC)OCCC1C,42.596
CCC1CCC1OCCO,42.6
C=CC(C)(CO)CCC,42.604
CCCCC(=NC)OOO,42.606
COCCNNCN(C)F,42.607
C#CCC(C)CC1CCC1,42.607
CCC1CCCC(CO)C1,42.611
CCCCONC(C)C,42.613
C#CCC(N)CCCC=O,42.614
CC1CCCC(CO)CC1,42.615
C.Cc1cnn(N)c1C,42.621
CCN(C)COC(C)C,42.625
CCCC(CC=O)C1CC1,42.625
CCCCNCN(N)C#N,42.628
CCCC=C1C=C(CC)C1,42.628
CNCC(CC=O)COO,42.631
CNCC(CC=O)COO,42.631
COCOCC(CO)OC,42.638
CNCC1CCC1NNN,42.641
CC#CCCC(C)NC=O,42.641
CNCC1CCC1NNN,42.641
CCC(C)CN(C)CO,42.643
C#CC(CCCO)OCO,42.647
CC(O)CC1CCC1CO,42.65
CCCCCC#CCC=O,42.653
C=CC(CC)C1CCCC1,42.654
CCCC(C)C1CNCN1,42.655
CCCC1CC1(C#N)CC,42.658
C#CCCCCC(N)C=O,42.661
CC(C)COOC(C)N,42.663
CC(C=O)CCC(C)C=O,42.668
CCC(C)(C=O)C(C)C,42.67
CCCC1(C)CCCOC1,42.674
COCC(C)C1CC(C)O1,42.677
C=CC(C)(C)OOCCC,42.682
C=CC(C)(C)OOCCC,42.682
C#CC(CCC)C1CCC1,42.684
C#CCC(C)C(C)CC,42.693
CNCCCC(C#N)CO,42.694
CCCC#CCCOOO,42.696
C#CCC1C(N)C1CCO,42.697
OCCC1CCC1CCO,42.7
C=CC(C)CCC(O)C=O,42.701
CCC(CCO)=C(C)C,42.702
C=C1OC(CCC)C1CC,42.702
C=CCCC(=O)CCCO,42.707
COC1=CC(C)C1CCN,42.708
C#CCCC1(CNN)CC1,42.708
C#CCCCC1CCC1C,42.71
CCCC(C)C1CCNN1,42.711
CCC#CC(C)(N)CC,42.714
CC1(CCOCOO)CC1,42.717
CC(CCCN)NCN,42.717
CCCC(C)C1CCCO1,42.724
COC(C)CCOCC=O,42.728
CC(O)CC(C)CCO,42.732
C#CC1CC(C)CC1CC,42.735
CCCCCCC1COC1,42.741
COCCCC(C)C1CO1,42.744
C#CC(CO)COCCO,42.746
CC(CO)CC(C)(O)O,42.752
CCC1C(C)N1C=NNN,42.752
CC(C)CCC1CCCO1,42.753
CCCCOOCOCC,42.758
CC(C)CCOCC(=O)O,42.759
CC(C)CCOCC1CO1,42.76
CCC(C)COCC(=O)O,42.762
CC(CO)CC(N)CN,42.766
CCOOCC1CCC1C,42.767
CNCC(CC#N)CCO,42.767
CC1(COOCCO)CC1,42.769
CCOCC1CCC(C)C1,42.769
CCCCC1OCCC1C,42.775
CCC1CCCCC1CO,42.778
COC(CO)COCOO,42.779
CCCC(=O)CCC1CC1,42.784
CC(C)CC1CCCC1C,42.788
CC(O)CCCCCC=O,42.789
COCCCC1CNC1C,42.792
CC#CCCCC(N)C=O,42.8
OCCCC1CCC1CO,42.804
CCC1C(C=NNN)N1C,42.812
CC(CCCC=O)OCO,42.813
CC(COO)COOOO,42.814
CCCNC(C)N(C)N,42.816
CCCC1CCCCC1O,42.818
CCON(C)CNCC=O,42.827
CC(C)CC1OCC1CO,42.83
CCNOCC#CC(C)C,42.831
CCCCC(C#N)NNN,42.832
CCCC(C)COOC=O,42.835
CCC1CC(N)NNC1C,42.836
CCC=CC(C)(C)CO,42.84
COCCCCC#COO,42.841
CN(CCCN=O)NCN,42.842
CCC(C)N(C)CCO,42.844
CCCOCCOOCC,42.844
CC(C=O)COCCCO,42.85
CONCN(NN)NNN,42.859
CCCC(CN)CCO,42.861
CCOC(C)COCC=O,42.862
CC1(CCCCO)CCO1,42.866
C=CCC(COC)OCO,42.867
CC1CCCCC1CCO,42.867
CC=C(C)COCCCC,42.868
CC#CCC1CCC1CC,42.871
CCCCC1(CO)C2CC21,42.872
COC(C)C(C)(C)OO,42.874
CC#CCCC1CCC1C,42.885
CCC(C)CCCOC,42.886
CC1CCC(C)C1COO,42.888
C#CC(CCO)OCCO,42.89
C=C(C#N)C(O)C(C)CC,42.89
CC1CC(CN)C(O)C1C,42.891
CCCCC1COCC1C,42.892
CC(C)COOC(C)C,42.893
CC(O)CCOCCC=O,42.898
CCC1CCC1C(O)CO,42.899
CC(C)CNOC(C)N,42.907
NCCCCC(N)CN,42.909
CN(CCO)CNCC=O,42.91
CCONNCC(C)C=O,42.913
CCCC1C(C)C1(C)N,42.913
C#CC(CO)OCCCO,42.921
C#CC(CO)OCCCO,42.921
CCC1CCCN(C)CC1,42.924
COCCOCC(O)CO,42.927
CCCCCCC1CCO1,42.929
CC1CC(C)C(COO)C1,42.93
CC(C)CC1COC1CO,42.937
CCCC1CCCC(O)C1,42.945
CCCC1(CCO)CCO1,42.946
CCCCC(C)(O)OC,42.95
N=CCC(CCO)COO,42.959
N=CCC(CCO)COO,42.959
C=CCC1CN1NCCC,42.96
CCCC1C2CC1(C)N2C,42.965
COC(C)CCC(O)C=O,42.967
CCCN(CNC#N)NC,42.967
CC#CC(CNC)OOO,42.968
CON(C)CCC(C)C,42.977
CCCCCCN(C)N,42.982
C#CC1CCCC(C)C1C,42.987
CC(=O)COOC(C)CO,42.988
C#CC#CC(C)CCCO,42.988
CC1CCCCC1N(C)C,42.991
CC(CC=O)OCCCO,42.993
CCCC(C#CNC)C=O,42.994
C#CCOCCCOCC,42.995
CCC(NN)C1CCCC1,42.997
CC1C(CC=O)C1N(C)C,42.998
C=CC(OC)C(C)CC=O,43
CC(CCC=O)OCCO,43.002
CCN(C)CCCCN,43.004
C#CCC(O)COCCO,43.007
C#CC1CC(C)CC(C)C1,43.008
CC(CO)CCOCC=O,43.01
CC(C)C(CO)C1CCO1,43.01
CCCCC1CCOC1C,43.011
CCCN(C)N(C)NC,43.016
CC(=CCC=O)CCCO,43.02
CC(C=O)CC=CCCO,43.02
NCNCCC(C=O)CO,43.02
CC1(CCCOOO)CC1,43.023
CC(CCO)CC1CNC1,43.025
C=CC(C)C1CCCC1C,43.03
CCCC1CCCC1CO,43.031
CC1CC(CCN)C(C)O1,43.032
CCCCC1C(C)OC1O,43.033
C#CCOOC(O)CCC,43.034
COCN(C)C1(N)CCC1,43.036
CCCC(=O)COCCO,43.039
CC(C)CC(O)C1CCO1,43.04
CC(CCO)COCC=O,43.041
CCOOC1CCC1CC,43.044
C=CC(CC)C(N)CC,43.045
COC1CCC(CN)C1C,43.048
CC1CCCC1CCCO,43.05
C#CC1CCC(C)CC1C,43.05
CC1CCCC1CCCO,43.05
CCCC(C)(O)OCC,43.051
CCCC(C)C12CCC1C2,43.051
CNCC(C)(C)COC,43.052
CN(C)COCCOOO,43.056
CC1CCCC1CCCO,43.057
CC1(C)CCOC(CN)C1,43.057
CC(CCO)C1CCCC1,43.061
CC1COCC(C)C(C)C1,43.062
C#CC(C#C)CCCCO,43.064
N=CC(CCCO)COO,43.066
COCCC1CC(C)C1O,43.067
COC1CCCC(C)C1C,43.067
CCC=CC(C)(O)CC,43.069
CCC1CC(C)C(OO)C1,43.07
CCC(C)C(C)NNN,43.07
CCC(C)OC1CCCC1,43.072
CCCC(=O)OCCNC,43.073
CCC(C)(C)C(C)CF,43.073
CC(C)CCOCNC=O,43.075
CCC1C(C)COCC1C,43.077
CCC(C)OCC(O)C=O,43.078
CCC1CNCCC(C)C1,43.078
C#CC(C)C1CC1CCO,43.079
CCCC=C1CCCC1C,43.081
CCON(C)C(C)CC,43.081
CCC#CCCC(C)C=O,43.081
CCC1C(CO)CC1OC,43.086
OCCCNC1CC1CO,43.088
CCCC(C#CCO)=NC,43.089
CNNNC(C)C(C)C,43.089
CC1CCOC(C)C(C)C1,43.09
CCC(N)N(C)CCN,43.093
CCCC#CC(N)C1CC1,43.094
C#CCCCCCC1CC1,43.095
C#CCC(C#C)CCCO,43.096
CCCCC1CCC=C1C,43.097
CCC(COO)C1CCC1,43.099
CC(C)CC1CC(C)C1=O,43.104
CCC1CCCC1CCO,43.104
C#CC(C)COCCOO,43.105
CC(C)COOCOCO,43.106
C#CC(CC)C1CCCC1,43.106
C#CCC(C)C1CCCC1,43.106
C#CC1(C)CCCC1CC,43.107
CCCNC(C)CNC,43.108
CCOCCC1CC1CO,43.108
CC1CC(C)C(C)CCO1,43.11
CCCC(CC#N)COC,43.115
CCCC#CCC(C)C=O,43.12
CCC(C)C(C)COO,43.121
CCCC(C)C1CC1C=O,43.125
CC(C)CC1CC1CC=O,43.126
C#CC(O)CCOOCC,43.132
CN(CO)CCCCC=O,43.135
C#CC(C)(O)CCCC=O,43.139
CCCN(CCC)NC,43.143
CCCCCC(=N)C1CC1,43.144
CCC1OCCC(C)C1C,43.145
C#CC(CO)COOCC,43.146
CCC(C)C#CCCC=O,43.146
C#CCCCCC(C)C=O,43.147
CCC1C(C)CCC1OO,43.151
CC(C)CC#CCCC=O,43.152
CC(=O)CCCC(O)OO,43.154
CC(COO)C(C)(C)O,43.156
CCCC1NNC(N)C1C,43.156
COCC1CC1CCCO,43.158
CCC#CCC(C)CC=O,43.16
CCC(C)CN=C(C)C,43.163
COC(=CNCCO)CO,43.165
C#CCCCCCOCO,43.169
CC(C)C(=O)OCCCO,43.174
CC(C)N(C)C(C)OO,43.174
CCCCCCCNC,43.176
CC(C)C1CC1CCC=O,43.179
C#CC(C)CCCCC=O,43.182
C#CCC(C)CCCC=O,43.182
CC1CC(CCCOO)C1,43.188
CCCC1CCCCCC1,43.196
COCOC(O)CCCO,43.198
CC(CCCCO)C1CO1,43.199
C#CC(CCC)CCC=O,43.2
CCCC1CCC(C)CN1,43.201
COC1CCC(C)C(C)C1,43.203
CC1CCC1CNCCO,43.204
CCC(O)CCC1CCN1,43.207
CNCCOCC(C)C=O,43.209
CCCC(CO)OCC=O,43.21
CC#CCCCCC1CC1,43.213
CC1CCC1CCNNN,43.214
CC1CCC(CO)CC1C,43.216
C#CC(CC)CCCC=O,43.216
C#CCCCCC(N)C=N,43.219
CNCC(CO)OCOO,43.22
CC1CCC(C)C1NNN,43.225
CCC(CCN)CNC,43.229
CCC1C(C)CCOC1C,43.231
CC(C)CONC(C)C,43.235
C#CC(C)(CC)CCCC,43.236
CCC1CCC1CCOO,43.237
CNCC(CCC#N)NC,43.238
CC(C)C(CC=O)C1CC1,43.242
CC(C)COC(C)CN,43.251
CCC1NCC1CCCO,43.253
CC1CCC(C)C(CO)C1,43.256
CC(CO)CCC(O)C=O,43.257
CC(CO)C1CCC1CO,43.257
CCC(NC)OC(C)C,43.268
C#CC1C(C)C1CCCO,43.269
CCCC(OO)C1CCC1,43.269
CCCC(COO)OOO,43.271
CNCC1CCC(C)(C)O1,43.271
COCCCC(O)C1CC1,43.271
CC(C)NN(C)N(C)C,43.272
CC1CCC(CO)C(C)C1,43.272
CCC(OC=O)C(C)CO,43.274
CC(CO)(COO)OOO,43.274
CCCCC(C)NCN,43.277
C=C(C)CC(C)CCC,43.278
COCC(OC)OCCO,43.279
CC(CN)CC(C)CO,43.284
CCNC(C)OC(C)C,43.285
C#CC(CC=O)CCCC,43.286
C#CC(CC=O)CCCC,43.286
CCCCCC(O)C1CO1,43.286
COC1CCCC(C)(C)C1,43.287
CC1CCCC(CO)C1C,43.29
CC1CC1CCOCCO,43.292
CCCCCC(=NC)OO,43.295
CC(CO)C1CCC(N)C1,43.295
CC#CCC(C)CCC=O,43.295
CCCCCC1(C)C2CN21,43.295
CCC1CCC(C)C1NO,43.301
CCCC1C(C)CNC1O,43.303
CNCC(O)OCCOO,43.305
CCCCCN(C)C=NN,43.308
CCCC(N)C(O)C1CO1,43.31
CCOCC(C)=CC1CC1,43.311
CCOC(C)C(C)CN,43.312
CC1CCN(C)C(C)C1O,43.312
CC1CCC1NCCCO,43.317
CC(C)OCC1CC(O)C1,43.321
CCC#CCCOCCO,43.323
COCCCCC1CC1O,43.324
CC=CC(C)CCCC,43.332
CCC1CC1COCCO,43.333
C#CCOCCCCCO,43.342
C#CCOCCCCCO,43.343
C#CCOCCCCCO,43.343
CCC(O)N(C)C(C)C,43.343
CC#CC(C)CCCC=O,43.343
CCCC(CC#N)NNC,43.353
CCCC(CC#N)NNC,43.353
CCNNCC(O)C1CC1,43.354
CCC1OCCC1(N)CC,43.356
CCCCC1CCCC1O,43.356
C=CC(CC)CC(C)C,43.361
CC(C)C(CN)CCO,43.362
CC(C)C(CN)CCO,43.362
CCC(C#CCO)COO,43.362
C=C(C)C(CC)CCC,43.363
CCCCC1(C)CCCO1,43.365
CC(C)C(C)C1CCCO1,43.366
CCOCC1CC1CCO,43.367
CCCC(C=O)C1CC1C,43.368
CC(C)(C=O)OCCOO,43.37
CCC1C=C(C)CC(C)C1,43.37
CC(C)C(CO)CCN,43.371
CC(CCCO)C(=O)CO,43.372
CC(O)C(C)(N)CCO,43.377
CCCCOCC1(C)CO1,43.378
CCCCOC1(C)CNC1,43.378
CNC(C=O)NCCCO,43.381
CC1CC(CO)C1CCO,43.384
CCCCCCCCC=O,43.384
CCC1CCCC(O)C1C,43.384
CCCC(COC)C1CN1,43.386
COC(C)NCCCC=O,43.39
CCC(C)(N)C(N)CO,43.392
CCC1NC1NCCCO,43.392
CCCC(CN)N(C)C,43.394
CCC1CC(CO)C1CO,43.394
CCC(C)C(CO)NC,43.404
CC(CO)C1CCCC1N,43.409
C#CC1C(O)C1CCCC,43.409
C#CCC1(C)OC1CCC,43.409
CCCCC(CCC)=NC,43.412
CCC#CC=CCCCO,43.415
CCC(C)COOCC=O,43.417
CC1CCCC(CN)CC1,43.418
COC(C)COC(C)C=O,43.418
CCC1CCC(C)C(O)C1,43.419
CCCCOC1CCC1N,43.419
CCC1(C)CC(C)C1C=O,43.419
CCC1CCC(C)CNC1,43.419
CCC(O)C(C)C(C)O,43.425
CCCCC(O)OC1CC1,43.425
CCC(C)(COC)OC=O,43.426
C=CCC(CC)C1CCC1,43.427
COCC(CCO)C1CC1,43.427
CCNCC(C#N)NCC,43.431
CNCC(C)COCC=O,43.434
CCCCOOC(C)(O)F,43.436
C#CC(CCCO)COO,43.439
COCCCCC(N)C=O,43.44
C#CC(CCCCO)OO,43.447
CCCCCC1OC1CO,43.449
CN(C)CCC1CCC1O,43.451
CCC1CC(C)CC(C)O1,43.452
CCC1CCC(C)C(C)O1,43.452
COC(C)(O)CC(C)C,43.453
CCCOCC(O)C1CC1,43.455
COC1=C(C)C1CCCO,43.455
CCC1C(O)C1(C)N,43.46
CCCCC1(CN)CCO1,43.46
CCC(C)OCCNC=O,43.461
COC1CC1CCCCO,43.465
CCC1(C)OCC(C)C1O,43.467
CCC1(C)CCCOC1C,43.469
COCC(CC=N)CCO,43.475
CCC1OC1CCCCO,43.475
CCC(C)(O)CNNC#N,43.48
CCCCCCC1OC1O,43.486
COCCCC1CCC1C,43.487
CCC(C)C(OC)C1CO1,43.493
COCCCC(C)C1CN1,43.495
COCCC(C)C1CCC1,43.502
CCC(=N)COCCCO,43.503
CCCC(=N)NC#CNC,43.504
OCCC=C=CCCCO,43.504
COC(C)CCNCC=O,43.511
COC(C)CCNCC=O,43.511
C#CC(CC)CC1CCC1,43.513
CCC(C)C(=NC)NN=N,43.516
CC1CCCC(N)C(N)C1,43.517
CC1CCCC(N)C(N)C1,43.517
CC(C)CCC1CCCN1,43.518
CCC#CC(CO)COO,43.519
C#CCCCC(C)C1CC1,43.525
CCC1CC(CCO)C1O,43.525
COC(C)C1CCCC1C,43.527
CCC1CCC(O)C(C)C1,43.527
CC1CCCC(CCN)C1,43.53
CCC1CC1OCCCO,43.531
CCC1CC1(C)CCC=O,43.534
CCCCN(C)N(C)C,43.54
CC(C)CC1(C)CCOC1,43.541
CCCC1N(C)C1(C)C=O,43.544
CNCCCOCC(C)=O,43.546
CCC1CCC(O)CC1C,43.549
C#CCC=CCCCCO,43.553
C#CC1C(C)CC1CCC,43.556
CN(C)OCCC(N)C=O,43.56
CCC(O)C1CCC(C)C1,43.56
CC(C)(CO)C1CCCN1,43.56
CCNC(CC)N(C)C,43.563
CCC(C#N)CCCCO,43.564
C#CCC(O)NCCCO,43.564
CC(C)OCCOOOO,43.565
COC(C)(C)C(C)CO,43.567
CCC1C(C)C(CO)C1O,43.567
CC(C)C(OO)C(C)C,43.569
CCC1CC(C)CCC1O,43.574
C#CCCCCC1(N)CC1,43.576
COCCOCC(O)CN,43.577
CCCC1(C)OCC1CO,43.578
CCC1CCCC(C)C1O,43.58
CCC(CC#N)CCCO,43.584
CCC(C#CNO)COC,43.584
CC(CCCC=O)COO,43.586
CC(C)CCOCC1CN1,43.587
COC(C)NNNNNN,43.591
CCCC1CC(C)C1OO,43.592
C#CCOCOC(C)CC,43.593
CCC1CCC(C)CC1O,43.593
CCC1=CC(C)C1CCO,43.593
CNCCC(O)CCC=O,43.594
CC(=CC=O)CCCCN,43.594
CN=C(CCO)CCOO,43.6
CNCC(CC=O)CCO,43.605
CCCC1(O)CC(CC)O1,43.606
CCON(C)CCCC=O,43.608
CCCC1CNC(CC)C1,43.611
CC1COC1(C)CCCO,43.612
CCC1(C)CC1CCC=O,43.613
CCCC(C)C1CCNC1,43.616
COC(C)(C)CCCC=O,43.618
